"ID","DESCRIPTION","STATUS","CHALLENGE"
"07ccdcda33044324b9da8cd6bc6cc947","Tech that compares movement speed to evaluate how objects move","unusable","BIONIC_RADAR"
"304521837842451c98322d026ba9e76a","tech that compares how fast certain things accelerate to distinguish them ","unusable","BIONIC_RADAR"
"2dff4f7e45974fdc83a54e8176f1a225","tech that takes note of a what time of day something moves in order to distinguish","unusable","BIONIC_RADAR"
"8314968a755b4ef4973df550d870465e","tech that takes note of the pattern of movement that objects move in to distinguish them ","unusable","BIONIC_RADAR"
"0629ee0f8a8845be9ca76aa49d4e70de","tech that compares how often objects move to distinguish them","unusable","BIONIC_RADAR"
"afd592edbaec4f1491ece32b404c47c4","tech that compares the frequency in which an object moves to distinguish them","unusable","BIONIC_RADAR"
"cbf651425b2f498a97b480aae8b3b7bd","tech that measures velocity to distinguish two objects","unusable","BIONIC_RADAR"
"92d879ce359c40b5a62620019ee5623a","It can be used on sports television to help explain plays to laypeople.","usable","BIONIC_RADAR"
"aa69791719604078b7c5638935276b80","t-shirts","unusable","FABRIC_DISPLAY"
"bc8f888a5b5f4858b9e499f898ff6035","mugs","unusable","FABRIC_DISPLAY"
"a4ef3584381b480fa4f8124deb39258c","
flags","unusable","FABRIC_DISPLAY"
"d00f3c8e9e0047b6b54cf620cd97ddbb","
bumperstikers","unusable","FABRIC_DISPLAY"
"eb30f4a9e2574b21be4f0bf8e9f5f8cc","
pants","unusable","FABRIC_DISPLAY"
"284c11dd48e540d4864896f121e18ff6","
yoga pants","unusable","FABRIC_DISPLAY"
"8b6e12bde69f40399dc0d38f032b8486","
skirts","unusable","FABRIC_DISPLAY"
"e9059b3c96244f1c97a0483ffa44fdd5","It could be used in nature preserves to track movement of things like wolf packs and bears to designate ""safe areas""","usable","BIONIC_RADAR"
"a448ea18d57743a58e37ecc37737d8b1","
hats","unusable","FABRIC_DISPLAY"
"88ea66cfb8b048509572e66dfbc704d2","
gloves","unusable","FABRIC_DISPLAY"
"4d4b7a3529bb4f62bf3e1caf84ce5c31","
sports jerseys that you can edit","unusable","FABRIC_DISPLAY"
"7ec9b93d002e474abbd22614fcf23fc2","It could be used to track endangered and at risk species and help stop poaching","usable","BIONIC_RADAR"
"d903ca29c9134ad4a2f6294297dc3cbc","
political shirts that you can edit","unusable","FABRIC_DISPLAY"
"b4677d9b71bb466889571a597eeef62f","
It could be used at large venues to track capacity and possible offenders","usable","BIONIC_RADAR"
"050626d05a4f46cd8ed6fcd63ed98189","
phone cases that you can edit","unusable","FABRIC_DISPLAY"
"b070eb3874a444828a254164da3f7103","
flyers that you can edit","unusable","FABRIC_DISPLAY"
"47d8f71319884542a9794b9abf3fee18","
posters that you can edit","unusable","FABRIC_DISPLAY"
"731ba85dd45244aa956be61d4b4116c9","
It could be used as part of a greater home security system to show you your vulnerabilities, and detect unusual persons.","usable","BIONIC_RADAR"
"285e65f355d84a4eb687aeb5fc10c59b","
backpacks that you can edit color and design","unusable","FABRIC_DISPLAY"
"e863bc0e2ac84355b65e5b0105e60912","It could be used to help track both vehicle and passenger information in public transit, to identify high volume and problem areas.","usable","BIONIC_RADAR"
"9fdfce2f07124e09988a6abc3e0f86cc","
mouse pads","unusable","FABRIC_DISPLAY"
"e04526eb611d47e7b2ee0351f4015659","
umbrellas","unusable","FABRIC_DISPLAY"
"65a539c14f56431184528d532ae5c783","
table cloths","unusable","FABRIC_DISPLAY"
"8df7d71510e945b1b17111334896e70c","
napkins","unusable","FABRIC_DISPLAY"
"ebc330796dec45bdbda35726a2348ad8","Obvious, questionably legal law enforcement uses. Though things like facial recognition tend to have success rates as low as 20%, so there'd need to be a significant improvement in the technology.","usable","BIONIC_RADAR"
"7ed32023d32f4426b11928412c4064e2","
banners","unusable","FABRIC_DISPLAY"
"d19dd4ee4cb749e69d98e41918690182","
seat cushions","unusable","FABRIC_DISPLAY"
"da605aadd019480888a2b9d7eef9b215","It can be used to help create procedurally generated summaries of on screen action for the visually impaired.","usable","BIONIC_RADAR"
"68c2f8d224ed44fb8c3c9b110f233a8a","It could have uses to create better ""flow"" in hospitals, specifically emergency rooms, as to make sure people are being treated quickly, and effectively.","usable","BIONIC_RADAR"
"366597001ce148e29578bebdc968f56d","Replacing umpires in baseball, due to better strike/ball detection.","usable","BIONIC_RADAR"
"5ec3de230dcb42ad9b0d3b1527988eae","Make curtains out of it, to display custom art.","usable","FABRIC_DISPLAY"
"101de682a9dd4e6bac3106eadb55556e","This technology could be used as a security measure in people's homes. Specifically, there could be suspicious movement patterns implemented (slow, hunched over, face covered) to recognize when a break in or burglary is occurring. ","usable","BIONIC_RADAR"
"26bc0e8e1f334794960ffd17ef32ad5c","Large scale portable movie screens, designed to be hung inside or out.","usable","FABRIC_DISPLAY"
"7de95dc51a014c1ea1fe0ec0953646f2","This technology could be used for parents with small children in theme parks or other large venues in case of their child being stolen or lost. They would be able to locate their missing child.","usable","BIONIC_RADAR"
"b5673983d9e641e784554f65d280e433","Customizable clothing, anything from high fashion to Halloween costumes.","usable","FABRIC_DISPLAY"
