Data,Filter,population,P,N,PositiveTest,NegativeTest,TP,TN,FP,FN,TPR,TNR,PPV,NPV,FPR,FDR,FNR,ACC,F1_score,MCC,informedness,markedness,prevalence,LRP,LRN,DOR,FOR
fabricresults,complex Bayes,391,19,372,4,387,2,370,2,17,0.10526315789473684,0.9946236559139785,0.5,0.9560723514211886,0.005376344086021506,0.5,0.8947368421052632,0.9514066496163683,0.17391304347826086,0.21343761160983613,0.09988681380871522,0.4560723514211886,0.04859335038363171,19.57894736842105,0.8995732574679943,21.76470588235294,0.04392764857881137
fabricresults,lin Classifier,391,19,372,7,384,4,369,3,15,0.21052631578947367,0.9919354838709677,0.5714285714285714,0.9609375,0.008064516129032258,0.42857142857142855,0.7894736842105263,0.9539641943734015,0.3076923076923077,0.3283044210783456,0.20246179966044142,0.5323660714285714,0.04859335038363171,26.105263157894736,0.7958921694480102,32.800000000000004,0.0390625
fabricresultsNoDups,complex Bayes,391,19,372,4,387,2,370,2,17,0.10526315789473684,0.9946236559139785,0.5,0.9560723514211886,0.005376344086021506,0.5,0.8947368421052632,0.9514066496163683,0.17391304347826086,0.21343761160983613,0.09988681380871522,0.4560723514211886,0.04859335038363171,19.57894736842105,0.8995732574679943,21.76470588235294,0.04392764857881137
fabricresultsNoDups,lin Classifier,391,19,372,7,384,4,369,3,15,0.21052631578947367,0.9919354838709677,0.5714285714285714,0.9609375,0.008064516129032258,0.42857142857142855,0.7894736842105263,0.9539641943734015,0.3076923076923077,0.3283044210783456,0.20246179966044142,0.5323660714285714,0.04859335038363171,26.105263157894736,0.7958921694480102,32.800000000000004,0.0390625
fabricresults All,complex Bayes,391,19,372,1,390,1,372,0,18,0.05263157894736842,1.0,1.0,0.9538461538461539,0.0,0.0,0.9473684210526315,0.9539641943734015,0.1,0.2240589858715726,0.05263157894736836,0.953846153846154,0.04859335038363171,inf,0.9473684210526315,inf,0.046153846153846156
fabricresults All,lin Classifier,391,19,372,14,377,7,365,7,12,0.3684210526315789,0.9811827956989247,0.5,0.9681697612732095,0.01881720430107527,0.5,0.631578947368421,0.9514066496163683,0.42424242424242425,0.4045663730626747,0.34960384833050373,0.4681697612732094,0.04859335038363171,19.57894736842105,0.643691420331651,30.416666666666664,0.03183023872679045
fabricresults All,USE,391,19,372,5,386,3,370,2,16,0.15789473684210525,0.9946236559139785,0.6,0.9585492227979274,0.005376344086021506,0.4,0.8421052631578947,0.9539641943734015,0.25,0.29187159802950957,0.1525183927560838,0.5585492227979274,0.04859335038363171,29.368421052631575,0.8466571834992888,34.68749999999999,0.04145077720207254
fabricresults AllNoDups,complex Bayes,391,19,372,1,390,1,372,0,18,0.05263157894736842,1.0,1.0,0.9538461538461539,0.0,0.0,0.9473684210526315,0.9539641943734015,0.1,0.2240589858715726,0.05263157894736836,0.953846153846154,0.04859335038363171,inf,0.9473684210526315,inf,0.046153846153846156
fabricresults AllNoDups,lin Classifier,391,19,372,13,378,7,366,6,12,0.3684210526315789,0.9838709677419355,0.5384615384615384,0.9682539682539683,0.016129032258064516,0.46153846153846156,0.631578947368421,0.9539641943734015,0.4375,0.42250660304354415,0.3522920203735145,0.5067155067155067,0.04859335038363171,22.842105263157894,0.6419327006039689,35.583333333333336,0.031746031746031744
fabricresults AllNoDups,USE,391,19,372,6,385,3,369,3,16,0.15789473684210525,0.9919354838709677,0.5,0.9584415584415584,0.008064516129032258,0.5,0.8421052631578947,0.9514066496163683,0.24,0.2620847189084931,0.14983022071307306,0.4584415584415584,0.04859335038363171,19.57894736842105,0.8489516474112109,23.0625,0.04155844155844156
