Data,Filter,population,P,N,PositiveTest,NegativeTest,TP,TN,FP,FN,TPR,TNR,PPV,NPV,FPR,FDR,FNR,ACC,F1_score,MCC,informedness,markedness,prevalence,LRP,LRN,DOR,FOR
fabricresults,complex Bayes,391,17,374,3,388,3,374,0,14,0.17647058823529413,1.0,1.0,0.9639175257731959,0.0,0.0,0.8235294117647058,0.9641943734015346,0.3,0.41243556197726833,0.17647058823529416,0.963917525773196,0.043478260869565216,inf,0.8235294117647058,inf,0.03608247422680412
fabricresults,lin Classifier,391,17,374,5,386,3,372,2,14,0.17647058823529413,0.9946524064171123,0.6,0.9637305699481865,0.0053475935828877,0.4,0.8235294117647058,0.959079283887468,0.2727272727272727,0.3105917952983329,0.17112299465240643,0.5637305699481865,0.043478260869565216,33.00000000000001,0.8279569892473118,39.85714285714287,0.03626943005181347
fabricresults,Filtersystem,391,17,374,19,372,7,362,12,10,0.4117647058823529,0.9679144385026738,0.3684210526315789,0.9731182795698925,0.03208556149732621,0.631578947368421,0.5882352941176471,0.9437340153452686,0.3888888888888889,0.36010465343298204,0.3796791443850267,0.3415393322014715,0.043478260869565216,12.833333333333332,0.6077348066298343,21.116666666666664,0.026881720430107527
fabricresults,Or Classifiers,391,17,374,8,383,6,372,2,11,0.35294117647058826,0.9946524064171123,0.75,0.9712793733681462,0.0053475935828877,0.25,0.6470588235294118,0.9667519181585678,0.48,0.5007115753126039,0.3475935828877006,0.7212793733681462,0.043478260869565216,66.00000000000001,0.6505376344086022,101.45454545454547,0.028720626631853787
fabricresultsNoDups,complex Bayes,391,17,374,3,388,3,374,0,14,0.17647058823529413,1.0,1.0,0.9639175257731959,0.0,0.0,0.8235294117647058,0.9641943734015346,0.3,0.41243556197726833,0.17647058823529416,0.963917525773196,0.043478260869565216,inf,0.8235294117647058,inf,0.03608247422680412
fabricresultsNoDups,lin Classifier,391,17,374,5,386,3,372,2,14,0.17647058823529413,0.9946524064171123,0.6,0.9637305699481865,0.0053475935828877,0.4,0.8235294117647058,0.959079283887468,0.2727272727272727,0.3105917952983329,0.17112299465240643,0.5637305699481865,0.043478260869565216,33.00000000000001,0.8279569892473118,39.85714285714287,0.03626943005181347
fabricresultsNoDups,Filtersystem,391,17,374,19,372,7,362,12,10,0.4117647058823529,0.9679144385026738,0.3684210526315789,0.9731182795698925,0.03208556149732621,0.631578947368421,0.5882352941176471,0.9437340153452686,0.3888888888888889,0.36010465343298204,0.3796791443850267,0.3415393322014715,0.043478260869565216,12.833333333333332,0.6077348066298343,21.116666666666664,0.026881720430107527
fabricresultsNoDups,Or Classifiers,391,17,374,8,383,6,372,2,11,0.35294117647058826,0.9946524064171123,0.75,0.9712793733681462,0.0053475935828877,0.25,0.6470588235294118,0.9667519181585678,0.48,0.5007115753126039,0.3475935828877006,0.7212793733681462,0.043478260869565216,66.00000000000001,0.6505376344086022,101.45454545454547,0.028720626631853787
fabricresults All,complex Bayes,391,17,374,1,390,0,373,1,17,0.0,0.9973262032085561,0.0,0.9564102564102565,0.00267379679144385,1.0,1.0,0.9539641943734015,0.0,-0.010795837927188261,-0.002673796791443861,-0.043589743589743546,0.043478260869565216,0.0,1.002680965147453,0.0,0.04358974358974359
fabricresults All,lin Classifier,391,17,374,18,373,7,363,11,10,0.4117647058823529,0.9705882352941176,0.3888888888888889,0.9731903485254692,0.029411764705882353,0.6111111111111112,0.5882352941176471,0.9462915601023018,0.4,0.3720780312841829,0.38235294117647056,0.362079237414358,0.043478260869565216,14.0,0.6060606060606061,23.099999999999998,0.02680965147453083
fabricresults All,Filtersystem,391,17,374,19,372,7,362,12,10,0.4117647058823529,0.9679144385026738,0.3684210526315789,0.9731182795698925,0.03208556149732621,0.631578947368421,0.5882352941176471,0.9437340153452686,0.3888888888888889,0.36010465343298204,0.3796791443850267,0.3415393322014715,0.043478260869565216,12.833333333333332,0.6077348066298343,21.116666666666664,0.026881720430107527
fabricresults All,USE,391,17,374,15,376,2,361,13,15,0.11764705882352941,0.9652406417112299,0.13333333333333333,0.9601063829787234,0.034759358288770054,0.8666666666666667,0.8823529411764706,0.928388746803069,0.125,0.08800569995021133,0.08288770053475925,0.09343971631205683,0.043478260869565216,3.3846153846153846,0.9141274238227147,3.7025641025641023,0.0398936170212766
fabricresults All,Or Classifiers,391,17,374,30,361,7,351,23,10,0.4117647058823529,0.9385026737967914,0.23333333333333334,0.9722991689750693,0.06149732620320856,0.7666666666666667,0.5882352941176471,0.9156010230179028,0.2978723404255319,0.268377267592525,0.35026737967914423,0.2056325023084027,0.043478260869565216,6.695652173913043,0.6267806267806268,10.682608695652172,0.027700831024930747
fabricresults All,Two Classifiers,391,17,374,4,387,2,372,2,15,0.11764705882352941,0.9946524064171123,0.5,0.9612403100775194,0.0053475935828877,0.5,0.8823529411764706,0.9565217391304348,0.19047619047619047,0.22758963106682428,0.11229946524064172,0.4612403100775193,0.043478260869565216,22.0,0.8870967741935484,24.8,0.03875968992248062
fabricresults AllNoDups,lin Classifier,391,17,374,18,373,7,363,11,10,0.4117647058823529,0.9705882352941176,0.3888888888888889,0.9731903485254692,0.029411764705882353,0.6111111111111112,0.5882352941176471,0.9462915601023018,0.4,0.3720780312841829,0.38235294117647056,0.362079237414358,0.043478260869565216,14.0,0.6060606060606061,23.099999999999998,0.02680965147453083
fabricresults AllNoDups,Filtersystem,391,17,374,19,372,7,362,12,10,0.4117647058823529,0.9679144385026738,0.3684210526315789,0.9731182795698925,0.03208556149732621,0.631578947368421,0.5882352941176471,0.9437340153452686,0.3888888888888889,0.36010465343298204,0.3796791443850267,0.3415393322014715,0.043478260869565216,12.833333333333332,0.6077348066298343,21.116666666666664,0.026881720430107527
