Data,Filter,population,P,N,PositiveTest,NegativeTest,TP,TN,FP,FN,TPR,TNR,PPV,NPV,FPR,FDR,FNR,ACC,F1_score,MCC,informedness,markedness,prevalence,LRP,LRN,DOR,FOR
fabricresults,Bayes,391,11,380,1,390,1,380,0,10,0.09090909090909091,1.0,1.0,0.9743589743589743,0.0,0.0,0.9090909090909091,0.9744245524296675,0.16666666666666666,0.2976207126160553,0.09090909090909083,0.9743589743589745,0.028132992327365727,inf,0.9090909090909091,inf,0.02564102564102564
fabricresults,complex Bayes,391,11,380,1,390,0,379,1,11,0.0,0.9973684210526316,0.0,0.9717948717948718,0.002631578947368421,1.0,1.0,0.969309462915601,0.0,-0.00861533641783318,-0.0026315789473684292,-0.028205128205128216,0.028132992327365727,0.0,1.0026385224274406,0.0,0.028205128205128206
fabricresults,lin Classifier,391,11,380,4,387,3,379,1,8,0.2727272727272727,0.9973684210526316,0.75,0.979328165374677,0.002631578947368421,0.25,0.7272727272727273,0.9769820971867008,0.4,0.4438337490773974,0.27009569377990417,0.729328165374677,0.028132992327365727,103.63636363636363,0.7291916526745023,142.125,0.020671834625323
fabricresultsNoDups,Bayes,391,11,380,1,390,1,380,0,10,0.09090909090909091,1.0,1.0,0.9743589743589743,0.0,0.0,0.9090909090909091,0.9744245524296675,0.16666666666666666,0.2976207126160553,0.09090909090909083,0.9743589743589745,0.028132992327365727,inf,0.9090909090909091,inf,0.02564102564102564
fabricresultsNoDups,complex Bayes,391,11,380,1,390,0,379,1,11,0.0,0.9973684210526316,0.0,0.9717948717948718,0.002631578947368421,1.0,1.0,0.969309462915601,0.0,-0.00861533641783318,-0.0026315789473684292,-0.028205128205128216,0.028132992327365727,0.0,1.0026385224274406,0.0,0.028205128205128206
fabricresultsNoDups,lin Classifier,391,11,380,4,387,3,379,1,8,0.2727272727272727,0.9973684210526316,0.75,0.979328165374677,0.002631578947368421,0.25,0.7272727272727273,0.9769820971867008,0.4,0.4438337490773974,0.27009569377990417,0.729328165374677,0.028132992327365727,103.63636363636363,0.7291916526745023,142.125,0.020671834625323
tcoresults,Bayes,259,118,141,52,207,50,139,2,68,0.423728813559322,0.9858156028368794,0.9615384615384616,0.6714975845410628,0.014184397163120567,0.038461538461538464,0.576271186440678,0.7297297297297297,0.5882352941176471,0.5091722479175369,0.4095444163962014,0.6330360460795244,0.4555984555984556,29.872881355932204,0.5845628581880259,51.10294117647059,0.3285024154589372
tcoresults,complex Bayes,259,118,141,61,198,56,136,5,62,0.4745762711864407,0.9645390070921985,0.9180327868852459,0.6868686868686869,0.03546099290780142,0.08196721311475409,0.5254237288135594,0.7413127413127413,0.6256983240223464,0.5153847872984002,0.43911527827863917,0.6049014737539329,0.4555984555984556,13.383050847457627,0.5447407776669991,24.567741935483863,0.31313131313131315
tcoresults,lin Classifier,259,118,141,93,166,73,121,20,45,0.6186440677966102,0.8581560283687943,0.7849462365591398,0.7289156626506024,0.14184397163120568,0.21505376344086022,0.3813559322033898,0.749034749034749,0.6919431279620853,0.49498424516235107,0.4768000961654044,0.5138618992097421,0.4555984555984556,4.361440677966102,0.4443899705841154,9.814444444444446,0.2710843373493976
tcoresults,USE,259,118,141,121,138,97,117,24,21,0.8220338983050848,0.8297872340425532,0.8016528925619835,0.8478260869565217,0.1702127659574468,0.19834710743801653,0.17796610169491525,0.8262548262548263,0.8117154811715481,0.6506490020477558,0.6518211323476379,0.6494789795185052,0.4555984555984556,4.829449152542373,0.21447196870925686,22.517857142857142,0.15217391304347827
