Data,Filter,population,P,N,PositiveTest,NegativeTest,TP,TN,FP,FN,TPR,TNR,PPV,NPV,FPR,FDR,FNR,ACC,F1_score,MCC,informedness,markedness,prevalence,LRP,LRN,DOR,FOR
fabricresults,complex Bayes,391,18,373,6,385,4,371,2,14,0.2222222222222222,0.9946380697050938,0.6666666666666666,0.9636363636363636,0.005361930294906166,0.3333333333333333,0.7777777777777778,0.959079283887468,0.3333333333333333,0.36971299565228577,0.21686029192731615,0.6303030303030304,0.04603580562659847,41.44444444444444,0.7819706498951782,53.0,0.03636363636363636
fabricresults,lin Classifier,391,18,373,10,381,8,371,2,10,0.4444444444444444,0.9946380697050938,0.8,0.973753280839895,0.005361930294906166,0.2,0.5555555555555556,0.969309462915601,0.5714285714285714,0.5828735161959538,0.43908251414953825,0.773753280839895,0.04603580562659847,82.88888888888889,0.5585504642108416,148.39999999999998,0.026246719160104987
fabricresultsNoDups,complex Bayes,391,18,373,6,385,4,371,2,14,0.2222222222222222,0.9946380697050938,0.6666666666666666,0.9636363636363636,0.005361930294906166,0.3333333333333333,0.7777777777777778,0.959079283887468,0.3333333333333333,0.36971299565228577,0.21686029192731615,0.6303030303030304,0.04603580562659847,41.44444444444444,0.7819706498951782,53.0,0.03636363636363636
fabricresultsNoDups,lin Classifier,391,18,373,10,381,8,371,2,10,0.4444444444444444,0.9946380697050938,0.8,0.973753280839895,0.005361930294906166,0.2,0.5555555555555556,0.969309462915601,0.5714285714285714,0.5828735161959538,0.43908251414953825,0.773753280839895,0.04603580562659847,82.88888888888889,0.5585504642108416,148.39999999999998,0.026246719160104987
tcoresults,Bayes,259,129,130,53,206,51,128,2,78,0.3953488372093023,0.9846153846153847,0.9622641509433962,0.6213592233009708,0.015384615384615385,0.03773584905660377,0.6046511627906976,0.6911196911196911,0.5604395604395604,0.47090975911894095,0.37996422182468703,0.583623374244367,0.4980694980694981,25.69767441860465,0.6140988372093023,41.84615384615385,0.3786407766990291
tcoresults,complex Bayes,259,129,130,56,203,54,128,2,75,0.4186046511627907,0.9846153846153847,0.9642857142857143,0.6305418719211823,0.015384615384615385,0.03571428571428571,0.5813953488372093,0.7027027027027027,0.5837837837837838,0.4897411567268882,0.40322003577817545,0.5948275862068966,0.4980694980694981,27.209302325581394,0.5904796511627907,46.08,0.3694581280788177
tcoresults,lin Classifier,259,129,130,90,169,74,114,16,55,0.5736434108527132,0.8769230769230769,0.8222222222222222,0.6745562130177515,0.12307692307692308,0.17777777777777778,0.4263565891472868,0.7258687258687259,0.6757990867579908,0.4731085655204604,0.4505664877757902,0.4967784352399738,0.4980694980694981,4.660852713178294,0.48619611043111655,9.586363636363636,0.3254437869822485
tcoresultsNoDups,Bayes,259,129,130,39,220,38,129,1,91,0.29457364341085274,0.9923076923076923,0.9743589743589743,0.5863636363636363,0.007692307692307693,0.02564102564102564,0.7054263565891473,0.6447876447876448,0.4523809523809524,0.40107462090201157,0.2868813357185451,0.5607226107226106,0.4980694980694981,38.29457364341086,0.7108947779580554,53.86813186813187,0.41363636363636364
tcoresultsNoDups,complex Bayes,259,129,130,39,220,38,129,1,91,0.29457364341085274,0.9923076923076923,0.9743589743589743,0.5863636363636363,0.007692307692307693,0.02564102564102564,0.7054263565891473,0.6447876447876448,0.4523809523809524,0.40107462090201157,0.2868813357185451,0.5607226107226106,0.4980694980694981,38.29457364341086,0.7108947779580554,53.86813186813187,0.41363636363636364
tcoresultsNoDups,lin Classifier,259,129,130,90,169,74,114,16,55,0.5736434108527132,0.8769230769230769,0.8222222222222222,0.6745562130177515,0.12307692307692308,0.17777777777777778,0.4263565891472868,0.7258687258687259,0.6757990867579908,0.4731085655204604,0.4505664877757902,0.4967784352399738,0.4980694980694981,4.660852713178294,0.48619611043111655,9.586363636363636,0.3254437869822485
