Dataset,Filter,Variable,population,P,N,PositiveTest,NegativeTest,TP,TN,FP,FN,TPR,TNR,PPV,NPV,FPR,FDR,FNR,ACC,F1_score,MCC,informedness,markedness,prevalence,LRP,LRN,DOR,FOR
cscw19-unapproved-ideas_import.csv,charcountlessfilter,5,354,288,66,3,351,3,66,0,285,0.010416666666666666,1.0,1.0,0.18803418803418803,0.0,0.0,0.9895833333333334,0.19491525423728814,0.020618556701030927,0.044257083711982864,0.01041666666666674,0.18803418803418803,0.8135593220338984,inf,0.9895833333333334,inf,0.811965811965812
cscw19-unapproved-ideas_import.csv,charcountlessfilter,10,354,288,66,10,344,10,66,0,278,0.034722222222222224,1.0,1.0,0.19186046511627908,0.0,0.0,0.9652777777777778,0.21468926553672316,0.06711409395973154,0.08161998349317622,0.03472222222222232,0.19186046511627897,0.8135593220338984,inf,0.9652777777777778,inf,0.8081395348837209
cscw19-unapproved-ideas_import.csv,charcountlessfilter,15,354,288,66,37,317,37,66,0,251,0.1284722222222222,1.0,1.0,0.2082018927444795,0.0,0.0,0.8715277777777778,0.2909604519774011,0.2276923076923077,0.163548646682741,0.12847222222222232,0.20820189274447953,0.8135593220338984,inf,0.8715277777777778,inf,0.7917981072555205
cscw19-unapproved-ideas_import.csv,charcountlessfilter,20,354,288,66,58,296,58,66,0,230,0.2013888888888889,1.0,1.0,0.22297297297297297,0.0,0.0,0.7986111111111112,0.3502824858757062,0.3352601156069364,0.21190629834735747,0.20138888888888884,0.22297297297297303,0.8135593220338984,inf,0.7986111111111112,inf,0.777027027027027
cscw19-unapproved-ideas_import.csv,charcountlessfilter,25,354,288,66,90,264,84,60,6,204,0.2916666666666667,0.9090909090909091,0.9333333333333333,0.22727272727272727,0.09090909090909091,0.06666666666666667,0.7083333333333334,0.4067796610169492,0.4444444444444444,0.17956303455680128,0.2007575757575757,0.16060606060606064,0.8135593220338984,3.2083333333333335,0.7791666666666668,4.117647058823529,0.7727272727272727
cscw19-unapproved-ideas_import.csv,charcountlessfilter,30,354,288,66,127,227,115,54,12,173,0.3993055555555556,0.8181818181818182,0.905511811023622,0.23788546255506607,0.18181818181818182,0.09448818897637795,0.6006944444444444,0.4774011299435028,0.5542168674698795,0.17659868751417315,0.2174873737373737,0.14339727357868814,0.8135593220338984,2.196180555555556,0.7341820987654321,2.991329479768787,0.762114537444934
cscw19-unapproved-ideas_import.csv,charcountmorefilter,50,354,288,66,179,175,140,27,39,148,0.4861111111111111,0.4090909090909091,0.7821229050279329,0.15428571428571428,0.5909090909090909,0.21787709497206703,0.5138888888888888,0.4717514124293785,0.5995717344753747,-0.08163484690065902,-0.10479797979797978,-0.06359138068635284,0.8135593220338984,0.8226495726495726,1.2561728395061726,0.654885654885655,0.8457142857142858
cscw19-unapproved-ideas_import.csv,charcountmorefilter,100,354,288,66,137,217,123,52,14,165,0.4270833333333333,0.7878787878787878,0.8978102189781022,0.23963133640552994,0.21212121212121213,0.10218978102189781,0.5729166666666666,0.4943502824858757,0.5788235294117647,0.17188580013473714,0.2149621212121211,0.13744155538363212,0.8135593220338984,2.013392857142857,0.7271634615384616,2.7688311688311686,0.7603686635944701
cscw19-unapproved-ideas_import.csv,charcountmorefilter,150,354,288,66,111,243,105,60,6,183,0.3645833333333333,0.9090909090909091,0.9459459459459459,0.24691358024691357,0.09090909090909091,0.05405405405405406,0.6354166666666666,0.4661016949152542,0.5263157894736842,0.22974047254484609,0.27367424242424243,0.1928595261928594,0.8135593220338984,4.010416666666666,0.6989583333333333,5.737704918032786,0.7530864197530864
cscw19-unapproved-ideas_import.csv,charcountmorefilter,200,354,288,66,80,274,76,62,4,212,0.2638888888888889,0.9393939393939394,0.95,0.22627737226277372,0.06060606060606061,0.05,0.7361111111111112,0.3898305084745763,0.41304347826086957,0.18929913575038218,0.2032828282828283,0.17627737226277373,0.8135593220338984,4.354166666666667,0.7836021505376344,5.556603773584906,0.7737226277372263
cscw19-unapproved-ideas_import.csv,charcountmorefilter,250,354,288,66,47,307,45,64,2,243,0.15625,0.9696969696969697,0.9574468085106383,0.20846905537459284,0.030303030303030304,0.0425531914893617,0.84375,0.307909604519774,0.26865671641791045,0.14455656429577923,0.12594696969696972,0.16591586388523116,0.8135593220338984,5.15625,0.8701171875,5.925925925925926,0.7915309446254072
cscw19-unapproved-ideas_import.csv,wordcountfilter,2,354,288,66,6,348,6,66,0,282,0.020833333333333332,1.0,1.0,0.1896551724137931,0.0,0.0,0.9791666666666666,0.2033898305084746,0.04081632653061224,0.06285816912134298,0.02083333333333326,0.18965517241379315,0.8135593220338984,inf,0.9791666666666666,inf,0.8103448275862069
cscw19-unapproved-ideas_import.csv,wordcountfilter,5,354,288,66,73,281,73,66,0,215,0.2534722222222222,1.0,1.0,0.23487544483985764,0.0,0.0,0.7465277777777778,0.3926553672316384,0.40443213296398894,0.24399672323412808,0.2534722222222223,0.23487544483985756,0.8135593220338984,inf,0.7465277777777778,inf,0.7651245551601423
cscw19-unapproved-ideas_import.csv,wordcountfilter,8,354,288,66,139,215,124,51,15,164,0.4305555555555556,0.7727272727272727,0.8920863309352518,0.2372093023255814,0.22727272727272727,0.1079136690647482,0.5694444444444444,0.4943502824858757,0.5807962529274004,0.16212212068031154,0.2032828282828283,0.12929563326083326,0.8135593220338984,1.8944444444444446,0.7369281045751633,2.5707317073170737,0.7627906976744186
cscw19-unapproved-ideas_import.csv,wordcountfilter,10,354,288,66,167,187,144,43,23,144,0.5,0.6515151515151515,0.8622754491017964,0.22994652406417113,0.3484848484848485,0.1377245508982036,0.5,0.5282485875706214,0.6329670329670329,0.1182075557537157,0.15151515151515138,0.09222197316596747,0.8135593220338984,1.434782608695652,0.7674418604651163,1.8695652173913042,0.7700534759358288
cscw19-unapproved-ideas_import.csv,wordcountfilter,15,354,288,66,194,160,159,31,35,129,0.5520833333333334,0.4696969696969697,0.8195876288659794,0.19375,0.5303030303030303,0.18041237113402062,0.4479166666666667,0.536723163841808,0.6597510373443983,0.01704399009641662,0.021780303030303205,0.013337628865979445,0.8135593220338984,1.0410714285714286,0.9536290322580645,1.0916943521594686,0.80625
cscw19-unapproved-ideas_import.csv,isuppercaseonly,None,354,288,66,23,331,23,66,0,265,0.0798611111111111,1.0,1.0,0.19939577039274925,0.0,0.0,0.9201388888888888,0.2514124293785311,0.14790996784565916,0.12619020474831216,0.07986111111111116,0.19939577039274914,0.8135593220338984,inf,0.9201388888888888,inf,0.8006042296072508
cscw19-unapproved-ideas_import.csv,charseqfilter,None,354,288,66,31,323,31,66,0,257,0.1076388888888889,1.0,1.0,0.2043343653250774,0.0,0.0,0.8923611111111112,0.2740112994350282,0.19435736677115986,0.1483048348686166,0.10763888888888884,0.20433436532507732,0.8135593220338984,inf,0.8923611111111112,inf,0.7956656346749226
cscw19-unapproved-ideas_import.csv,sentencestructurefilter1,None,354,288,66,26,328,26,66,0,262,0.09027777777777778,1.0,1.0,0.20121951219512196,0.0,0.0,0.9097222222222222,0.2598870056497175,0.16560509554140126,0.1347800074436267,0.09027777777777768,0.2012195121951219,0.8135593220338984,inf,0.9097222222222222,inf,0.7987804878048781
