ID,CHALLENGE,CREATED,DESCRIPTION,HIT_ID,STATUS,WORKER_ID,LENGTH,SPAM,TRIGGERED
f2c2bcc5dc3c4ef7b63323a0293a1858,cscw19-1-imageAndDescription-label,2019-03-13 13:31:47.489,foo,debug,unreviewed,max,3,spam,"Charcount, Wordcount, bayes"
8b9b143a26394170b0dc40c495ac7d42,cscw19-1-imageAndDescription-label,2019-03-22 16:36:18.575,good,3URJ6VVYUPULHRZE3J0QQ2WOH85O47,unreviewed,A1PC5HFTBIR2QA,4,spam,"Charcount, Wordcount"
63f9c93659fe4c1da30862ecb6701d73,cscw19-1-imageAndDescription-label,2019-03-12 16:19:12.91,test,debug,unreviewed,max,4,spam,"Charcount, Wordcount, bayes"
2102c24008d14b6b9b2a49c3a1da18d3,cscw19-1-description-label,2019-03-19 11:59:29.062,clean,3IJ95K7NDXJJBMSMX52EK2TMH19NGA,unreviewed,A1IBQ7MUUTWLS9,5,spam,"Charcount, Wordcount, bayes"
aeee9a44ca7743e9844e9489ba5a9d47,cscw19-1-image-label,2019-03-23 23:05:31.933,GREAT,3L7SUC0TTU1GI0W172YBMVH65WWM0W,unreviewed,AMJ9AF7IG3E5T,5,spam,"Charcount, Wordcount, Uppercase, bayes"
00b553fcc0ca4615a801bdd7da892375,cscw19-1-imageAndDescription-label,2019-03-12 10:59:33.396,Shoes,322ZSN9Z5GR1UJ4MZ0J1X2KYC354T4,unreviewed,A1053TFZ0N36YJ,5,spam,"Charcount, Wordcount"
fd7d1429367b47afb158776e90e4e574,cscw19-1-image-label,2019-03-23 22:39:33.089,I LOVE U,3L7SUC0TTU1GI0W172YBMVH65WWM0W,unreviewed,AMJ9AF7IG3E5T,8,spam,"Charcount, Uppercase, bayes"
40ab1fd90fbf4bddba4f227955fdf7f4,cscw19-1-imageAndDescription-label,2019-03-17 06:38:37.842,hello from,testhit,unreviewed,testworker,10,spam,"Charcount, bayes"
5e50792400d541a0a358d6234a26c0c7,cscw19-1-imageAndDescription-label,2019-03-16 15:10:25.776,how are you,testhit,unreviewed,testworker,11,spam,"Charcount, bayes"
c974e4858dc74393a693060b111a5511,cscw19-1-description-label,2019-03-23 11:50:18.017,i like food,3JVP4ZJHDPZUMH6AMN0JU2APON4I04,unreviewed,A3AS3TZQF4X6ZK,11,spam,"Charcount, bayes"
adb247e9e6a945e1b4330c2299842dbd,cscw19-1-imageAndDescription-label,2019-03-24 02:39:22.606,LIVING ROOM,3FTID4TN8L5T9DA1FY85EAW1H4LLYU,unreviewed,AY8JXIKA2CXM4,11,spam,"Charcount, Uppercase"
2957dd1b4083456a9eb61bec3bd7811b,cscw19-1-image-label,2019-03-23 11:18:32.732,i like dress,3ZUE82NE0A8SUF9NGJ7DKK3FRTOF8X,unreviewed,ADX8Y4UXA4IDA,12,spam,"Charcount, bayes"
18c5693ebd764917847f89bc417514d0,cscw19-1-image-label,2019-03-23 11:15:25.97,i like games,3ZUE82NE0A8SUF9NGJ7DKK3FRTOF8X,unreviewed,ADX8Y4UXA4IDA,12,spam,"Charcount, bayes"
6795ff11176e453ab826080bfff1bb52,cscw19-1-imageAndDescription-label,2019-03-12 12:55:12.189,paly cricket,testhit,unreviewed,testworker,12,spam,"Charcount, bayes"
263514acbf274f3fa793d2e0469bbb34,cscw19-1-imageAndDescription-label,2019-03-12 12:49:48.028,some country ,testhit,unreviewed,testworker,13,spam,"Charcount, bayes"
a336e2b6a37a44aeba86e123fcc5f548,cscw19-1-image-label,2019-03-23 11:16:16.987,i like friends,3ZUE82NE0A8SUF9NGJ7DKK3FRTOF8X,unreviewed,ADX8Y4UXA4IDA,14,spam,"Charcount, bayes"
7c03fc12bf4049ceb1e056e62dce1e9a,cscw19-1-imageAndDescription-label,2019-03-12 12:20:46.963,flower and shoes,testhit,unreviewed,testworker,16,spam,"Charcount, bayes"
4c67831b210f4a9e89f176045a9b3d85,cscw19-1-description-label,2019-03-23 11:31:08.183,i like education,3JVP4ZJHDPZUMH6AMN0JU2APON4I04,unreviewed,A3AS3TZQF4X6ZK,16,spam,"Charcount, bayes"
8d6e1cd5a33448c6b7d3932b8a8c44fe,cscw19-1-description-label,2019-03-23 11:33:16.849,i like my husband,3JVP4ZJHDPZUMH6AMN0JU2APON4I04,unreviewed,A3AS3TZQF4X6ZK,17,spam,"Charcount, bayes"
59009ab438c140c2a8d0bd7c4acec1b6,cscw19-1-imageAndDescription-label,2019-03-19 10:34:02.682,IT IS SO USEFULL ,3IJ95K7NDXJJBMSMX52EK2TMH19NGA,unreviewed,ABI7LAZ5192UL,17,spam,"Charcount, Uppercase, bayes"
1e4da860da1e4fb6a1721278427d1941,cscw19-1-imageAndDescription-label,2019-03-12 12:28:16.171,some type of talk,testhit,unreviewed,testworker,17,spam,"Charcount, bayes"
404f62c4997e428c9529c7e04b5753e9,cscw19-1-imageAndDescription-label,2019-03-23 09:53:55.081,make a box as a car,39O0SQZVJNELXR9DX9F1N9L3JXT7RX,unreviewed,A2IQ7D8VNHWVN3,19,spam,"Charcount, bayes"
3673d5a6c8fb47dc9f1977cb04fc89c5,cscw19-1-imageAndDescription-label,2019-03-13 13:43:11.762,An idea is books,3VLL1PIENQV1KON3OCQGKY9XIYFZOR,unusable,A2L9G4YBBC7Z99,16,spam,"Charcount, bayes"
030c1412e101474e9dbc6ff09f2d5c0b,cscw19-1-imageAndDescription-label,2019-03-13 13:56:35.165,An idea is plants,3VLL1PIENQV1KON3OCQGKY9XIYFZOR,unusable,A2L9G4YBBC7Z99,17,spam,"Charcount, bayes"
