ID,DESCRIPTION,CHALLENGE,STATUS
http://purl.org/innovonto/ideas/chi19s1/82,"A bathroom mirror would be great with a touch display, because as you're getting ready for work, you can catch up on the morning news or get a jumpstart on reading and returning emails.",TCO,usable
http://purl.org/innovonto/ideas/chi19s1/415,"Your car is already able to call for help when an accident occurs, but within a few years, it’ll tip paramedics off to probable injuries too. E.M.T.’s would know the likelihood of internal bleeding or traumatic head injury, for example, before arriving on the scene, which would help them decide whether to move you to a Level 1 trauma center or a standard emergency room. Researchers at the University of Michigan International Center for Automotive Medicine have created the predictive models by cross-referencing the crash data provided by sensors on cars, like speed and location of impact, with 3-D scans of accident victims. Tamara Warren",TCO,unusable
http://purl.org/innovonto/ideas/chi19s1/83,"It would be useful for dog collars to have a touch display. If your dog ran away or got loose, all the owner's contact info could be easily accessed and the dog could be returned home easily.",TCO,usable
http://purl.org/innovonto/ideas/chi19s1/84,"A touch display would be useful on the door of a refrigerator. It could keep your grocery list, left over dates and expiration dates all in one spot. No more wasting food!",TCO,usable
http://purl.org/innovonto/ideas/chi19s1/416,you can apply it on windows to set the opacity of the glass and regulate the light ,TCO,usable
http://purl.org/innovonto/ideas/chi19s1/80,Touchscreen printer that will allow for more personalized functions.,TCO,usable
http://purl.org/innovonto/ideas/chi19s1/190,"Used on the seats on planes, buses, and other commecial vehicles to entertain passengers. ",TCO,usable
http://purl.org/innovonto/ideas/chi19s1/417,"a floor touch screen where you spray on the floor and it tells you how many foot steps there has been in that room on that day along with the weather and the amount of cleaning needed for the day on that floor.
",TCO,usable
http://purl.org/innovonto/ideas/chi19s1/81,Touchscreen food machine that will personalize food options to create.,TCO,unusable
http://purl.org/innovonto/ideas/chi19s1/191,Turn the handle in the shower into a tablet for water settings based on your body temperature.,TCO,usable
http://purl.org/innovonto/ideas/chi19s1/418,"The first is permanent sunblock. No one likes putting the stuff on, so there should be a one-time treatment that embeds the skin with a permanent level of S.P.F. 30, akin to having Lasik eye surgery once and then forgetting about it. Sunburn vanquished like smallpox. The other is the “brain map” — a technology that maps out every neural connection in your mind and then, effectively, stores your brain on your hard drive",TCO,unusable
