ID,DESCRIPTION,STATUS,CHALLENGE,TRIGGERED,PREDICTION,OTHERBayes,OTHERS
43ea2d2eed28439b982a0612fbbc3a9c,It could be a camera type tool to allow parents to keep track of their children when out in public. ,usable,BIONIC_RADAR,[''],"Bayes: 3.7035469254592846e-08, complexBayes 8.261049270911789e-12, linClass: 0 0, USE: 0 0.97191936","BayesTCO: 1.4286327836151072e-08, BayesMixed 2.6401152337937905e-11, BayesMixed w/o dups 4.418036301563483e-11, compl BayesTCO: 1.7046047374295145e-12, compl BayesMixed: 1.3204642833186873e-22, compl BayesMixed w/o dups: 3.4177957971032666e-21","Lin Class: 0 0, USE mixed: 0 0.9865905"
3a8ac1793a874f90a45df2ef06029ac5,"
It can be a camera scanning tool for fisherman to scan types of fish underwater.",usable,BIONIC_RADAR,"['', 'Wordcount']","Bayes: 0.0001086030210477748, complexBayes 7.547781570839143e-07, linClass: 0 0, USE: 0 0.9239257","BayesTCO: 5.3507194064801936e-05, BayesMixed 5.753004279915902e-07, BayesMixed w/o dups 1.0940822985304465e-06, compl BayesTCO: 5.653589670801032e-07, compl BayesMixed: 2.4863937601247415e-13, compl BayesMixed w/o dups: 9.532090608968464e-13","Lin Class: 0 0, USE mixed: 0 0.92564327"
61ab48ddbd91429b8be2075af2f32c9e,"
It can be a home security camera that will detect and identify potential threats. ",usable,BIONIC_RADAR,"['', 'Wordcount', 'Wordcount']","Bayes: 2.2831354942757893e-06, complexBayes 2.9765935888302465e-06, linClass: 0 0, USE: 0 0.92905855","BayesTCO: 9.88687832662716e-07, BayesMixed 1.241814215674696e-10, BayesMixed w/o dups 3.4018452955737775e-10, compl BayesTCO: 7.116256168767394e-07, compl BayesMixed: 5.155458634635877e-14, compl BayesMixed w/o dups: 2.603630172090769e-13","Lin Class: 0 0, USE mixed: 0 0.92183095"
29a0bee7828d42cc8efdce8d07cc9d15,"
It can be a scanning tool used to identify baseball pitcher's pitches before they even pitch them. ",usable,BIONIC_RADAR,"['', 'Wordcount']","Bayes: 1.8823762388052537e-07, complexBayes 2.1802889731411436e-07, linClass: 0 0, USE: 0 0.8977958","BayesTCO: 7.530220067162625e-08, BayesMixed 5.548401419137454e-10, BayesMixed w/o dups 7.46340224040043e-10, compl BayesTCO: 5.7382298222443054e-08, compl BayesMixed: 1.3728090065398944e-14, compl BayesMixed w/o dups: 2.6342988657561274e-14","Lin Class: 0 0, USE mixed: 0 0.93837917"
790fa7910e1647f1aefe82dcc5b1c043,"
It could be a camera that can track specific animals in packs or groups. ",usable,BIONIC_RADAR,"['', 'Wordcount', 'Wordcount']","Bayes: 2.9839379088844957e-06, complexBayes 6.034575258606342e-08, linClass: 0 0, USE: 0 0.9145399","BayesTCO: 1.5656541163076918e-06, BayesMixed 1.7744042716941485e-08, BayesMixed w/o dups 2.8674638503638366e-08, compl BayesTCO: 7.058329811942397e-09, compl BayesMixed: 5.1795287075632536e-20, compl BayesMixed w/o dups: 9.006971695176525e-19","Lin Class: 0 0, USE mixed: 0 0.92803556"
d6455639339945728584fb181b76359e,It cold be a microscopic camera that can be utilized internally in the body to identify certain bacteria. ,usable,BIONIC_RADAR,"['', 'Wordcount']","Bayes: 3.6639796854106783e-06, complexBayes 2.129995512426675e-06, linClass: 0 0, USE: 0 0.9093123","BayesTCO: 1.7866534605652623e-06, BayesMixed 1.0504192457934545e-07, BayesMixed w/o dups 1.8600735567254167e-07, compl BayesTCO: 3.7986437059318325e-07, compl BayesMixed: 5.4394368522609665e-15, compl BayesMixed w/o dups: 5.408880659195947e-14","Lin Class: 0 0, USE mixed: 0 0.9218749"
6cc9f38e03904dd68d7856203334d55c,These devices can be used to detect intruders in an area after recognizing an unfamiliar gait.,usable,BIONIC_RADAR,"['', 'Wordcount']","Bayes: 9.93325170540712e-07, complexBayes 6.646259423843597e-16, linClass: 0 0, USE: 0 0.9653841","BayesTCO: 4.3059766378246553e-07, BayesMixed 1.820260241971093e-08, BayesMixed w/o dups 3.360227206254845e-08, compl BayesTCO: 6.783249378196095e-17, compl BayesMixed: 6.455328428441376e-27, compl BayesMixed w/o dups: 4.07561635429262e-25","Lin Class: 0 0, USE mixed: 0 0.9599681"
2d706b3da0444e13bb6f4d2b533d246e,"What if this type of technology was used as small devices around your yard, above and below the soil. These devices could tell us the exact areas that the soil was perfectly suited for certain kinds of growing based on the movement of the sun, soil movement etc. This would solve a huge problem with gardening, tree placement, it could tell what the best vegetables/flowers/trees/shrubs were for a specific area based on soil, water, air flow, humidity, soil ph and more, This would be such an asset for planning and landscaping a home or on a larger scale farms for food growing.",usable,BIONIC_RADAR,[''],"Bayes: 5.1789854481267273e-11, complexBayes 6.824027284051865e-20, linClass: 0 0, USE: 0 0.9809542","BayesTCO: 1.5995937825747416e-11, BayesMixed 4.794317853202217e-15, BayesMixed w/o dups 2.1150956985663764e-14, compl BayesTCO: 7.26652315125931e-21, compl BayesMixed: 2.529909700878851e-52, compl BayesMixed w/o dups: 1.304088726021474e-50","Lin Class: 0 0, USE mixed: 0 0.97112286"
aea3af92b2224053abe8d042b340efd3,It can track ball movements on basketball shots to find the optimal shooting angle and release.,usable,BIONIC_RADAR,"['', 'Wordcount']","Bayes: 9.448908395691056e-06, complexBayes 8.655775475829851e-08, linClass: 0 0, USE: 0 0.9536778","BayesTCO: 4.3179513989293545e-06, BayesMixed 2.275351739438148e-06, BayesMixed w/o dups 3.0217066241945187e-06, compl BayesTCO: 2.7783550603147093e-08, compl BayesMixed: 6.87194590007863e-11, compl BayesMixed w/o dups: 1.8652097374788768e-10","Lin Class: 0 0, USE mixed: 0 0.9790636"
acb4b6f72d8749b78c33e5bd9094885f,"This technology could be used in a car to help the driver detect movement around them in tough driving conditions, such as night time or during heavy rainfall.",usable,BIONIC_RADAR,[''],"Bayes: 6.635410317571019e-09, complexBayes 7.808102945393436e-44, linClass: 0 0, USE: 0 0.966815","BayesTCO: 2.5064206419268987e-09, BayesMixed 2.2490667446094115e-11, BayesMixed w/o dups 1.6995333082268592e-11, compl BayesTCO: 8.609761289390628e-46, compl BayesMixed: 2.196533448151812e-71, compl BayesMixed w/o dups: 3.3477555941509487e-69","Lin Class: 0 0, USE mixed: 0 0.9869775"
