Data,population,TN,FP,N,FN,TP,P,PositiveTest,NegativeTest,TPR,PPV,Acc
fabricresults,391,367,11,378,6,7,13,18,373,0.5384615384615384,0.3888888888888889,0.9565217391304348
fabricresultsNoDups,391,367,11,378,6,7,13,18,373,0.5384615384615384,0.3888888888888889,0.9565217391304348
fabricresults All,391,367,11,378,6,7,13,18,373,0.5384615384615384,0.3888888888888889,0.9565217391304348
fabricresults AllNoDups,391,367,11,378,6,7,13,18,373,0.5384615384615384,0.3888888888888889,0.9565217391304348
tcoresults,259,118,12,130,53,76,129,88,171,0.5891472868217055,0.8636363636363636,0.749034749034749
tcoresultsNoDups,259,118,12,130,53,76,129,88,171,0.5891472868217055,0.8636363636363636,0.749034749034749
tcoresults All,259,118,12,130,53,76,129,88,171,0.5891472868217055,0.8636363636363636,0.749034749034749
tcoresults AllNoDups,259,118,12,130,53,76,129,88,171,0.5891472868217055,0.8636363636363636,0.749034749034749
bionicresults,844,772,11,783,47,14,61,25,819,0.22950819672131148,0.56,0.9312796208530806
bionicresultsNoDups,844,772,11,783,47,14,61,25,819,0.22950819672131148,0.56,0.9312796208530806
bionicresults All,844,772,11,783,47,14,61,25,819,0.22950819672131148,0.56,0.9312796208530806
bionicresults AllNoDups,844,772,11,783,47,14,61,25,819,0.22950819672131148,0.56,0.9312796208530806
