Data,population,TN,FP,N,FN,TP,P,PositiveTest,NegativeTest,TPR,PPV,Acc
fabricresults,391,376,2,378,6,7,13,9,382,0.5384615384615384,0.7777777777777778,0.979539641943734
fabricresultsNoDups,391,376,2,378,6,7,13,9,382,0.5384615384615384,0.7777777777777778,0.979539641943734
fabricresults All,391,361,17,378,5,8,13,25,366,0.6153846153846154,0.32,0.9437340153452686
fabricresults AllNoDups,391,354,24,378,4,9,13,33,358,0.6923076923076923,0.2727272727272727,0.928388746803069
tcoresults,259,96,34,130,13,116,129,150,109,0.8992248062015504,0.7733333333333333,0.8185328185328186
tcoresultsNoDups,259,100,30,130,13,116,129,146,113,0.8992248062015504,0.7945205479452054,0.833976833976834
tcoresults All,259,123,7,130,50,79,129,86,173,0.6124031007751938,0.9186046511627907,0.7799227799227799
tcoresults AllNoDups,259,123,7,130,49,80,129,87,172,0.6201550387596899,0.9195402298850575,0.7837837837837838
bionicresults,844,778,5,783,43,18,61,23,821,0.29508196721311475,0.782608695652174,0.943127962085308
bionicresultsNoDups,844,777,6,783,41,20,61,26,818,0.32786885245901637,0.7692307692307693,0.9443127962085308
bionicresults All,844,771,12,783,45,16,61,28,816,0.26229508196721313,0.5714285714285714,0.9324644549763034
bionicresults AllNoDups,844,775,8,783,45,16,61,24,820,0.26229508196721313,0.6666666666666666,0.9372037914691943
