Data,Filter,population,P,N,PositiveTest,NegativeTest,TP,TN,FP,FN,TPR,TNR,PPV,NPV,FPR,FDR,FNR,ACC,F1_score,MCC,informedness,markedness,prevalence,LRP,LRN,DOR,FOR
fabricresults,complex Bayes,391,13,378,3,388,2,377,1,11,0.15384615384615385,0.9973544973544973,0.6666666666666666,0.9716494845360825,0.0026455026455026454,0.3333333333333333,0.8461538461538461,0.969309462915601,0.25,0.3106667309734807,0.15120065120065118,0.6383161512027491,0.03324808184143223,58.15384615384616,0.8483982860640685,68.54545454545456,0.028350515463917526
fabricresults,lin Classifier,391,13,378,6,385,5,377,1,8,0.38461538461538464,0.9973544973544973,0.8333333333333334,0.9792207792207792,0.0026455026455026454,0.16666666666666666,0.6153846153846154,0.9769820971867008,0.5263157894736842,0.5571096826177377,0.381969881969882,0.8125541125541127,0.03324808184143223,145.3846153846154,0.6170169353193227,235.62499999999997,0.02077922077922078
fabricresults,Filtersystem,391,13,378,18,373,7,367,11,6,0.5384615384615384,0.9708994708994709,0.3888888888888889,0.9839142091152815,0.0291005291005291,0.6111111111111112,0.46153846153846156,0.9565217391304348,0.45161290322580644,0.4357652605386477,0.5093610093610095,0.37280309800417033,0.03324808184143223,18.503496503496503,0.475372039404737,38.92424242424242,0.0160857908847185
fabricresults,Or Classifiers,391,13,378,9,382,7,376,2,6,0.5384615384615384,0.9947089947089947,0.7777777777777778,0.9842931937172775,0.005291005291005291,0.2222222222222222,0.46153846153846156,0.979539641943734,0.6363636363636364,0.6374274752360497,0.5331705331705332,0.7620709714950553,0.03324808184143223,101.76923076923077,0.4639934533551555,219.33333333333331,0.015706806282722512
fabricresultsNoDups,complex Bayes,391,13,378,3,388,2,377,1,11,0.15384615384615385,0.9973544973544973,0.6666666666666666,0.9716494845360825,0.0026455026455026454,0.3333333333333333,0.8461538461538461,0.969309462915601,0.25,0.3106667309734807,0.15120065120065118,0.6383161512027491,0.03324808184143223,58.15384615384616,0.8483982860640685,68.54545454545456,0.028350515463917526
fabricresultsNoDups,lin Classifier,391,13,378,6,385,5,377,1,8,0.38461538461538464,0.9973544973544973,0.8333333333333334,0.9792207792207792,0.0026455026455026454,0.16666666666666666,0.6153846153846154,0.9769820971867008,0.5263157894736842,0.5571096826177377,0.381969881969882,0.8125541125541127,0.03324808184143223,145.3846153846154,0.6170169353193227,235.62499999999997,0.02077922077922078
fabricresultsNoDups,Filtersystem,391,13,378,18,373,7,367,11,6,0.5384615384615384,0.9708994708994709,0.3888888888888889,0.9839142091152815,0.0291005291005291,0.6111111111111112,0.46153846153846156,0.9565217391304348,0.45161290322580644,0.4357652605386477,0.5093610093610095,0.37280309800417033,0.03324808184143223,18.503496503496503,0.475372039404737,38.92424242424242,0.0160857908847185
fabricresultsNoDups,Or Classifiers,391,13,378,9,382,7,376,2,6,0.5384615384615384,0.9947089947089947,0.7777777777777778,0.9842931937172775,0.005291005291005291,0.2222222222222222,0.46153846153846156,0.979539641943734,0.6363636363636364,0.6374274752360497,0.5331705331705332,0.7620709714950553,0.03324808184143223,101.76923076923077,0.4639934533551555,219.33333333333331,0.015706806282722512
fabricresults All,complex Bayes,391,13,378,2,389,1,377,1,12,0.07692307692307693,0.9973544973544973,0.5,0.9691516709511568,0.0026455026455026454,0.5,0.9230769230769231,0.9667519181585678,0.13333333333333333,0.1866747119631436,0.07427757427757431,0.46915167095115695,0.03324808184143223,29.07692307692308,0.925525402978984,31.416666666666668,0.030848329048843187
fabricresults All,lin Classifier,391,13,378,18,373,7,367,11,6,0.5384615384615384,0.9708994708994709,0.3888888888888889,0.9839142091152815,0.0291005291005291,0.6111111111111112,0.46153846153846156,0.9565217391304348,0.45161290322580644,0.4357652605386477,0.5093610093610095,0.37280309800417033,0.03324808184143223,18.503496503496503,0.475372039404737,38.92424242424242,0.0160857908847185
