Data,population,TN,FP,N,FN,TP,P,PositiveTest,NegativeTest,TPR,PPV,Acc
fabricresults All,391,370,8,378,9,4,13,12,379,0.3076923076923077,0.3333333333333333,0.9565217391304348
fabricresults AllNoDups,391,362,16,378,8,5,13,21,370,0.38461538461538464,0.23809523809523808,0.9386189258312021
tcoresults,259,112,18,130,28,101,129,119,140,0.7829457364341085,0.8487394957983193,0.8223938223938224
tcoresultsNoDups,259,117,13,130,28,101,129,114,145,0.7829457364341085,0.8859649122807017,0.8416988416988417
tcoresults All,259,130,0,130,104,25,129,25,234,0.1937984496124031,1.0,0.5984555984555985
tcoresults AllNoDups,259,130,0,130,109,20,129,20,239,0.15503875968992248,1.0,0.5791505791505791
bionicresults,844,783,0,783,52,9,61,9,835,0.14754098360655737,1.0,0.9383886255924171
bionicresultsNoDups,844,783,0,783,56,5,61,5,839,0.08196721311475409,1.0,0.933649289099526
bionicresults All,844,783,0,783,51,10,61,10,834,0.16393442622950818,1.0,0.9395734597156398
bionicresults AllNoDups,844,783,0,783,55,6,61,6,838,0.09836065573770492,1.0,0.9348341232227488
