Data,population,TN,FP,N,FN,TP,P,PositiveTest,NegativeTest,TPR,PPV,Acc
fabricresults,391,377,1,378,11,2,13,3,388,0.15384615384615385,0.6666666666666666,0.969309462915601
fabricresultsNoDups,391,377,1,378,11,2,13,3,388,0.15384615384615385,0.6666666666666666,0.969309462915601
fabricresults All,391,377,1,378,12,1,13,2,389,0.07692307692307693,0.5,0.9667519181585678
fabricresults AllNoDups,391,378,0,378,11,2,13,2,389,0.15384615384615385,1.0,0.9718670076726342
tcoresults,259,124,6,130,70,59,129,65,194,0.4573643410852713,0.9076923076923077,0.7065637065637066
tcoresultsNoDups,259,124,6,130,76,53,129,59,200,0.4108527131782946,0.8983050847457628,0.6833976833976834
tcoresults All,259,128,2,130,94,35,129,37,222,0.2713178294573643,0.9459459459459459,0.6293436293436293
tcoresults AllNoDups,259,128,2,130,102,27,129,29,230,0.20930232558139536,0.9310344827586207,0.5984555984555985
bionicresults,844,780,3,783,54,7,61,10,834,0.11475409836065574,0.7,0.9324644549763034
bionicresultsNoDups,844,778,5,783,51,10,61,15,829,0.16393442622950818,0.6666666666666666,0.933649289099526
bionicresults All,844,781,2,783,57,4,61,6,838,0.06557377049180328,0.6666666666666666,0.9300947867298578
bionicresults AllNoDups,844,782,1,783,57,4,61,5,839,0.06557377049180328,0.8,0.9312796208530806
