Data,population,TN,FP,N,FN,TP,P,PositiveTest,NegativeTest,TPR,PPV,Acc
fabricresults,391,377,1,378,8,5,13,6,385,0.38461538461538464,0.8333333333333334,0.9769820971867008
fabricresultsNoDups,391,377,1,378,8,5,13,6,385,0.38461538461538464,0.8333333333333334,0.9769820971867008
fabricresults All,391,367,11,378,6,7,13,18,373,0.5384615384615384,0.3888888888888889,0.9565217391304348
fabricresults AllNoDups,391,366,12,378,6,7,13,19,372,0.5384615384615384,0.3684210526315789,0.9539641943734015
tcoresults,259,117,13,130,42,87,129,100,159,0.6744186046511628,0.87,0.7876447876447876
tcoresultsNoDups,259,117,13,130,42,87,129,100,159,0.6744186046511628,0.87,0.7876447876447876
tcoresults All,259,125,5,130,69,60,129,65,194,0.46511627906976744,0.9230769230769231,0.7142857142857143
tcoresults AllNoDups,259,125,5,130,69,60,129,65,194,0.46511627906976744,0.9230769230769231,0.7142857142857143
bionicresults,844,781,2,783,50,11,61,13,831,0.18032786885245902,0.8461538461538461,0.9383886255924171
bionicresultsNoDups,844,782,1,783,50,11,61,12,832,0.18032786885245902,0.9166666666666666,0.9395734597156398
bionicresults All,844,775,8,783,49,12,61,20,824,0.19672131147540983,0.6,0.9324644549763034
bionicresults AllNoDups,844,776,7,783,49,12,61,19,825,0.19672131147540983,0.631578947368421,0.933649289099526
