ID,CHALLENGE,CREATED,DESCRIPTION,HIT_ID,STATUS,WORKER_ID,LENGTH,SPAM
http://purl.org/innovonto/ideas/chi19s1/133,TCO,,"You can have an athletic shirt sleeve that gives you feedback on your heart rate, perspiration amounts, breathing rate, etc.",,usable,,,
f2c2bcc5dc3c4ef7b63323a0293a1858,cscw19-1-imageAndDescription-label,2019-03-13 13:31:47.489,foo,debug,unreviewed,max,3,spam
bfaaf7f48b824bd0907090e309c9d9e3,cscw19-1-imageAndDescription-label,2019-03-21 20:35:42.496,I coated into the walls in houses and kitchen walls.Hence that be very useful to using a touch screen in wall.,3ULIZ0H1VACIHIWDBMLPJYPUOS651K,unreviewed,A1XBAS3AXLFB5F,110,ham
http://purl.org/innovonto/ideas/chi19s1/66,TCO,,A touchscreen for the bathroom to regulate the water temperature in the shower and also be used as a radio or television.,,usable,,,
http://purl.org/innovonto/ideas/chi19s1/128,TCO,,Cabinets that will show you how many dishes are currently clean ready for use. ,,usable,,,
http://purl.org/innovonto/ideas/chi19s1/134,TCO,,"It could be used as a wall poster that can display any image you want, even moving images.",,usable,,,
7c4e4acdbe57449f8de6bd192e70e921,cscw19-1-image-label,2019-03-23 10:12:51.945,"The domestic dog is a member of the genus Canis, which forms part of the wolf-like canids, and is the most widely abundant terrestrial carnivore. ",3ZUE82NE0A8SUF9NGJ7DKK3FRTOF8X,unreviewed,AXHFWTX0LTTOP,146,spam
8bdffce828a946658b84d8ba0546b979,cscw19-1-imageAndDescription-label,2019-03-24 00:11:04.869," A new prototype can transform a notebook into a notebook computer, a wall into ... can turn any nearby surface into an ad hoc interactive touch screen. ... Instead of relying on screens, buttons, or keys, the system monitors the user's ... But the team has built several sample applications; one allows users to ...",3W5PY7V3UPENENM1CDWSYVJ9DFGJYQ,unreviewed,A1V595KBP0VLEO,316,spam
http://purl.org/innovonto/ideas/chi19s1/321,TCO,,Filing cabinet system where you can see what index of files are inside each drawer before opening and searching.,,usable,,,
http://purl.org/innovonto/ideas/chi19s1/97,TCO,,You could use it to turn any wall in your house into a tv or a game ,,usable,,,
http://purl.org/innovonto/ideas/chi19s1/230,TCO,,digital window for basement or windowless areas,,usable,,,
http://purl.org/innovonto/ideas/chi19s1/153,TCO,,A kid's drawing board like on a wall so they can paint and play with it.,,usable,,,
ce04249a5662495881d433c6edc1c41c,cscw19-1-image-label,2019-03-22 22:16:06.792,"Use it on the refrigerator, so that you could have a running grocery list, leave notes for your kids/spouse/roommates. ",36FFXPMST9VFT3N9IQK9KR5SMDRHOM,unreviewed,A2O7V3NTBF9RRE,119,ham
http://purl.org/innovonto/ideas/chi19s1/350,TCO,,"Use the coating on windows and tap on the window to identify people, cars, wildlife, etc.",,usable,,,
http://purl.org/innovonto/ideas/chi19s1/191,TCO,,Turn the handle in the shower into a tablet for water settings based on your body temperature.,,usable,,,
589116eecd8c4371b217bebc6be637b3,cscw19-1-imageAndDescription-label,2019-03-13 14:18:02.373,Touch screen keyboard,3VLL1PIENQV1KON3OCQGKY9XIYFZOR,unusable,AGC3T6724JUAF,21,ham
http://purl.org/innovonto/ideas/chi19s1/59,TCO,,I think it would be a great idea for a touch screen oven/stove.  The reason I feel this would be a great addition is because it could help a lot of people with disabilities and help others that would like to cook but are afraid of being around the hot pieces of cookware.  This would essentially be a picture and your stove would be behind it.  You could just touch the items that you want to use and the heat you want to put it at to cook it.,,usable,,,
29092639b0b94ae4926ac8252fa8de80,cscw19-1-imageAndDescription-label,2019-03-22 16:00:41.057,"In a demo yesterday, though, Microsoft  Office Labs GM Chris Prattle and Director of Envisioning Ian Sands said that the two products are completely different. Surface is a multi-touch and vision system that uses cameras to sense what is on the table, where it is and what it is doing. It can determine, for example, if a cell phone is on the table and then interact with the phone in a variety of ways, such as pulling photos off of it ",3URJ6VVYUPULHRZE3J0QQ2WOH85O47,unreviewed,A1PC5HFTBIR2QA,437,spam
http://purl.org/innovonto/ideas/chi19s1/174,TCO,,meeting scheduler next to conference room,,usable,,,
http://purl.org/innovonto/ideas/chi19s1/286,TCO,,"a device where you can spray in side a car dashboard. the dashboard then tells you the mph you are going and other car related information such as temperature
",,usable,,,
http://purl.org/innovonto/ideas/chi19s1/219,TCO,,"On the steering wheel face, for things like song changing, gps",,usable,,,
http://purl.org/innovonto/ideas/chi19s1/240,TCO,,City operated location service a person could use to find the right location by spraying various areas around a city.,,usable,,,
4c67831b210f4a9e89f176045a9b3d85,cscw19-1-description-label,2019-03-23 11:31:08.183,i like education,3JVP4ZJHDPZUMH6AMN0JU2APON4I04,unreviewed,A3AS3TZQF4X6ZK,16,spam
http://purl.org/innovonto/ideas/chi19s1/271,TCO,,apply it in offices for presentations,,usable,,,
236878e4a5b44481a9ef5bc96ab65b9f,cscw19-1-description-label,2019-03-23 11:32:36.766,my family is very poor,3JVP4ZJHDPZUMH6AMN0JU2APON4I04,unreviewed,A3AS3TZQF4X6ZK,22,spam
e0ff3d85fade4888860d1ec5a5098fd8,cscw19-1-image-label,2019-03-23 09:53:27.791,"In botany, a fruit is the seed-bearing structure in flowering plants formed from the ovary after flowering. Fruits are the means by which angiosperms disseminate seeds.",3ZUE82NE0A8SUF9NGJ7DKK3FRTOF8X,unreviewed,A3QMED18F7JJWE,168,spam
8a3c5ae02f124e829f73f77637d11443,cscw19-1-description-label,2019-03-23 09:36:29.223,Use it on furniture using in the window,3JVP4ZJHDPZUMH6AMN0JU2APON4I04,unreviewed,AUPRMVUM25CSP,39,ham
1c571c437f344bc58e1e42cac07c7f41,cscw19-1-imageAndDescription-label,2019-03-21 12:12:37.72,books is very important many knowledge to the art image.,37Y5RYYI0PCRDLFHUBJ47I3N7RISXQ,unreviewed,AG5HAUJJV4OCY,56,spam
b2439dd516d04210a230bc28b3ab44bb,cscw19-1-imageAndDescription-label,2019-03-23 23:33:20.518,"our industries, reinventing our products, redefining our services ... difficult to imagine how your students will succeed .... to build and equip education systems to that they can .... There's no need to turn everyone into data scientists ...... with the Microsoft Surface ..... There's a touch screen for browsing and a full keyboard.",3FTID4TN8L5T9DA1FY85EAW1H4LLYU,unreviewed,A2D7V4E7TCYOZF,336,spam
http://purl.org/innovonto/ideas/chi19s1/27,TCO,,A window where you can control how much light gets in by swiping,,usable,,,
b52789a028ac4c519a7b12f194909f08,cscw19-1-description-label,2019-03-13 21:47:40.245,A touch screen bedroom dresser,3IHWR4LC7DKC46BDHRDYNHG77GHI8I,unusable,A1RCQT5Z8PHTWJ,30,ham
http://purl.org/innovonto/ideas/chi19s1/4,TCO,,car window,,usable,,,
http://purl.org/innovonto/ideas/chi19s1/2,TCO,,frosted window,,unusable,,,
16552a191e4e4e8cbbe86aee23e28fb8,cscw19-1-description-label,2019-03-23 09:31:09.398,Use it on furniture using book table. ,3JVP4ZJHDPZUMH6AMN0JU2APON4I04,unreviewed,AUPRMVUM25CSP,38,ham
http://purl.org/innovonto/ideas/chi19s1/96,TCO,,you could use it on your shoes so it could tie your laces ,,unusable,,,
bbacdbfed5aa4475b3cd04e809db73d2,cscw19-1-imageAndDescription-label,2019-03-23 10:58:36.342,"The sea, the world ocean or simply the ocean is the connected body of salty water that covers over 70 percent of the Earth's surface.",3JVP4ZJHDPZUMH6AMN0JU2APON4I04,unreviewed,AHDY3BLTTUYFG,133,spam
http://purl.org/innovonto/ideas/chi19s1/277,TCO,,You could coat an armrest on a couch or chair to put a touch screen there. For when you need to change the movie you always have a remote.,,usable,,,
