ID,CHALLENGE,CREATED,DESCRIPTION,HIT_ID,STATUS,WORKER_ID,LENGTH,SPAM
http://purl.org/innovonto/ideas/chi19s1/10,TCO,,You can turn your bedroom wall into a touchscreen TV,,usable,,,
http://purl.org/innovonto/ideas/chi19s1/283,TCO,,"A kitchen counter that could display cooking recipes. You could flip through pages etc and add recipes of your own
",,usable,,,
http://purl.org/innovonto/ideas/chi19s1/376,TCO,,Walls that can be any color or pattern.,,unusable,,,
9e9bf308b97943ae98ac21bd2f25b4c9,cscw19-1-image-label,2019-03-23 09:33:11.745,THE THOUGHT IS VERY VERY GOOD AND I APPRECIATE IT THIS IS VERY NEW AND THIS  IS BEST NO COMPLAINTS THE IDEA IS IMPROVED TO THE QUALITY AND THE QUALITY IS VERY VERY IMPORTANT,3ZUE82NE0A8SUF9NGJ7DKK3FRTOF8X,unreviewed,A2FCT2TWW60S1S,173,spam
http://purl.org/innovonto/ideas/chi19s1/26,TCO,,A wall in the bedroom that displays pictures all of your clothes to help you create outfits,,usable,,,
http://purl.org/innovonto/ideas/chi19s1/317,TCO,,Projector,,usable,,,
218f43a86fcf4e4b99843b9b2019b985,cscw19-1-imageAndDescription-label,2019-03-23 09:33:22.663,an different antibotics have to describe for the disease,39O0SQZVJNELXR9DX9F1N9L3JXT7RX,unreviewed,ABI7LAZ5192UL,56,spam
http://purl.org/innovonto/ideas/chi19s1/147,TCO,,A compilation of games that can be used like tic-tac-toe and other simple games with a setting to find each game.,,usable,,,
15ae07b95f9d4059873c7cc2f0eeb4b1,cscw19-1-image-label,2019-03-23 10:32:07.392,"Cosmetics are substances or products used to enhance or alter the appearance of the face or fragrance and texture of the body. Many cosmetics are designed for use of applying to the face, hair, and body.",3ZUE82NE0A8SUF9NGJ7DKK3FRTOF8X,unreviewed,AXHFWTX0LTTOP,203,spam
6cbf8d9d3fe147fd8c2521134a0da6f5,cscw19-1-imageAndDescription-label,2019-03-24 01:18:00.714,"Create a work environment you feel good in. And that includes investing in professional office equipment and furniture. Experience, training or licensing may be needed for started a new company ",3VGZ74AYTGN0KIVV8FT04RZAIZHCG7,unreviewed,A1EY3YKOC2DVBU,194,spam
